 California
 Cebu
 Florida
 Long.84.2 - Lat.25.1
Almadies,
Almeria,
Alpes-Maritimes
Altoona Lagoon,
Alulz at Bosso,
Amador,
Amai-Oshima,
Amaicusa Island,
Amami Group, Kagochima,
Amami Island,
Amami Islands,
Amami O Shima,
Amami-Ochima,
Amami-Oshima,
Amani Group,
Amani Id.,
Amani Island,
Amani-ashina,
Amary Bay,
Amazon River
Ambajan,
Ambanja,
Ambatoloaka,
Ambatolosaka,
Ambatolsaca,
Ambatolsaka,
Ambergris Caye,
Ambijan,
Ambijohn,
Amboina,
Ambon Island,
Ambonia
Amboyna,
Ambriotely,
Amedee Island,
American Samoa
American Samoa,
Ametlla de Mar,
Amoni Island,
Ampangorina,
Amuay Bay
Amuay Bay,
Amuay,
An Peng Island,
An Ping Id.,
An Ping,
Anaa Island,
Anae Island,
Anae,
Anaho,
Anakao,
Anakas,
Analsao,
Anate Hill,
Anate Hills,
Ancach
Ancara,
Ancash,
Ancon, Canal Zone
Ancona,
Andaman Island,
Andaman Islands
Andaman Sea
Andaman Sea,
Andaman Sea, Ranong,
Andamar Sea, off
Andilana,
Andora Allasio,
Anegada Island
Anegada Island,
Angel de la Guarda Is.,
Angel de la Guarda Island
Anglesey,
Angoche,
Angola,
Angola, West Africa
Anguilla
Anguilla,
Angulhas Bank,
Anh Tre Island,
Ankify,
Ann Ping Island
Ann Tre Island,
Annaa Island,
Annobon Island
Annotte Bay,
Anp'ing,
Anping,
Anse Bertrand,
Anse Ceron,
Anse-a-Galeta,
Anse-a-Galets,
Anses d'Arlet,
Antafianambitra,
Antafianambritra,
Antafinoe, E.Nossi Be,
Antigua,
Antilles,
Antipodes Island,
Antsirana R.N.I. de Marojejy,
Antsiranana,
Anuay Village,
Anuta Island,
Anzio,
Aomori Pref.,
Aomori Prefecture,
Aomori Region,
Aomori,
Apataki Atoll,
Apataki Island,
Apea Harbor,
Apea,
Apia
Apia Harbor,
Apia,
Apra Haraboar
Apra Harbor,
Apra Harbour,
Apurimac
Apurimac,
Aquadilla,
Aquidilla,
Arabia,
Arabian Gulf,
Arabian Sea,
Arabian Sea.
Arafur Sea,
Arafura Sea
Arafura Sea,
Arakabesang,
Arakane Reef
Archipielago de Cabo Verde
Arcipelago Toscano,
Arctic
Arctic Sea(?)
Arecibo,
Arena Bank
Arena Banks,
Arenas De Quebro,
Arenas de  Quebra,
Arenas de Quebro
Arenas de Quebro,
Arenas de Quenbro,
Arequipa,
Arfura Sea
Argyll
Argyllshire
Argyllshire,
Arizona
Arizona,
Arkansas
Arkansas,
Arkansas, Randolph County,
Armenia,
Arno Atoll
Arnos Vale,
Arofuz Sea
Arousa Village,
Arrecife,
Arroyo Conventos,
Arroyo Paso Severino,
Arsenal,
Aru Island,
Aruba
Aruba Island,
Aruba,
Aruba,,
Arue,
Arufor Sea
As Sabya,
Asa River,
Asan Point,
Asan Reef,
Asan,
Ascension Island,
Ashkelon,
Aspinwal,
Astakos,
Astrolabe Reef,
Ata'a Galaita,
Ataa Ne Coast,
Atlantic Beach,
Atlantic Coast,
Atlantic Ocean
Atlantic Ocean,
Atlantic Sea,
Atlantic side,
Atlantic,
Atlantid side,
Atlit,
Atsam Bay,
Atsumi Peninsula,
Auckland
Auckland (?)
Auckland Harbor
Auckland Harbor,
Auckland Islands
Auckland Islands,
Auckland,
Auckland, West Coast,
Auckland.
Augundilla,
Aukland
Aukland Harbor,
Aukland Islands,
Aukland,
Australe Archipelago,
Avenas de Quabro,
Avenos de Quabro,
Avissawella,
Awaji,
Away Bay,
Axim,
Ayia Napa,
Azores Isls.
B. C. Norte,
B. C. Sur,
B. California S.
Babel,
Babelthurp,
Bacelot Beach,
Baha California Sur,
Baha California,
Baha,
Baha, CA.
Baha, CA.,
Bahamas
Bahamas,
Bahia
Bahia California South,
Bahia California,
Bahia Concepcion
Bahia Concepcion,
Bahia Conception,
Bahia Cuastocomete,
Bahia Culebra,
Bahia Handa,
Bahia Honda North,
Bahia Honda,
Bahia Kino,
Bahia Navidad,
Bahia S.Luis Gonzaga,
Bahia San Carlos,
Bahia San Luis Gonzaga,
Bahia Ventasa,
Bahia de Banderas
Bahia de Cienfuegos
Bahia de Concepcion,
Bahia de Conception,
Bahia de Los Angeles,
Bahia de Los Angles,
Bahia de San Lucas,
Bahia de las Palmas,
Bahia del Galgo,
Bahia del Sur
Bahia, California
Bahrain,
Bahrein Island
Baia Dos Cocas,
Baia dos Cocos (?),
Baia dos Cocos,
Baie Fort France,
Baie N'go,
Baie Prony,
Baie d'Fort de France,
Baie de Fort d'France,
Baie de Goree,
Baie de Gorre,
Baie de Hamm,
Baie de Hann,
Baie de Harm,
Baie de Ndajane,
Baie de Prony,
Baie de Sanary,
Baie de St.Vincent,
Baie de Tombeau,
Baie de l'Etoile,
Baie de la Moselle,
Baizo Pinda,
Baj California,
Baja
Baja  California
Baja  California,
Baja Balifornia del Sur,
Baja Ca;lifornia,
Baja Calif. Norte,
Baja Calif. Sur,
Baja Calif. Sur.,
Baja Calif. del Sur,
Baja Calif.Norte,
Baja Calif.S.
Baja Calif.Sur,
Baja Calif.del Sur
Baja Calif.del Sur,
Baja Calif.delSur,
Baja Califoirnia del Sur,
Baja Califor.del Sur
Baja Califoria S.,
Baja Califoria,
Baja Califormia
Baja California
Baja California ,
Baja California Del Sur,
Baja California N.
Baja California N.,
Baja California Norte
Baja California Norte,
Baja California Norte,,
Baja California S.
Baja California S.,
Baja California South,
Baja California Sur
Baja California Sur,
Baja California Sur.,
Baja California del Sur
Baja California del Sur,
Baja California del Sur,,
Baja California s.,
Baja California south,
Baja California,
Baja California, Puertocitos,
Baja California, San Felipe,
Baja California, San Filipe,
Baja California, Sur
Baja California, Tomalia,
Baja California,.
Baja California,Pacific side,
Baja California,Puertocitos,
Baja California.
Baja California`
Baja Californie
Baja Californioa del Sur,
Baja Californoa,
Baja Calisornia
Baja Calorinia,
Baja Claifornia
Baja Claifornia Norte,
Baja Claifornia,
Baja Concepcion
Baja Concepcion,
Baja Del Norte
Baja Del Sur
Baja Mexico,
Baja Peninsula,
Baja Penninsula,
Baja Sur,
Baja calif.Sur,
Baja de Norte,
Baja del Norte
Baja del Norte,
Baja del Norts
Baja del Sur
Baja del Sur,
Baja,
Baja, California
Baja, California, Mexico
Baja, Calironia(?)
Baja, West Mexico,
Bajia de concepcion,
Bakum Island,
Balabac Id.,
Balabac Island,
Balabac,
Balacasag Island,
Balakasic Island,
Balboa,
Balck River,
Baleares Isles
Balearic Islands,
Balearics,
Balearis Islands,
Baleric Islands,
Baleric Isles,
Balesian Island,
Bali
Bali Island,
Bali,
Balicasag Island,
Balicasag,
Balina de Santiago se Cuba
Balo Point,
Balot Island,
Baltic Shore
Baltra Cut,
Baltrum Island,
Balut Id.,
Balut Island,
Balut,
Balute Island,
Bambalapitiya,
Banan,
Banana Bay,
Banana to Mounda,
Banana,
Banderas Bay
Banderas Bay,
Banderos Bay,
Bandos Island,
Bandros Id.,
Banes,
Banga Island,
Bangao Channel,
Bangka Strait,
Bangkok,
Bank of Saba,
Banka Straits,
Banks Island,
Banks Peninsula,
Banlayan,
Bantayan Island,
Bantayan,
Bantouyn Island,
Bantry Bay,
Bara Navidad,
Baracoa
Baracoa,
Barahona
Barahona 
Barbados,
Barbers Point,
Barbuda
Barbuda Island,
Barcelona,
Barceloneta
Barents Sea,
Barents Sea, Murman Coast,
Barents Sea,Murman Coast
Bareutz Sea
Bari,
Barra de Camarazibe,
Barra de Navadad,
Barra de Navidad,
Barra de Navidad.
Barracuda Rock,
Barre de Navidad,
Barrington Island,
Barrow Island,
Bashee River mouth,
Basiana Strait,
Basilan Island,
Basilan,
Baska Voda,
Baso Peninsula,
Basse Terre,
Basse-Terre,
Bat Yam,
Bataan Bay,
Bataan Province,
Bataan,
Batabano,
Batan
Batan Island,
Batan Islands,
Batan,
Batana Island,
Batanagas Bay,
Batanes Id.,
Batanes Island,
Batanga Bay,
Batanga,
Batangas
Batangas Bay,
Batangas,
Batangus Bay,
Bataugus Bay,
Bathhurst,
Bathurst Island,
Batua Island,
Batun Bay,
Baugenville,
Bay Anse d'Aretes,
Bay Cape,
Bay Island,
Bay Islands
Bay Islands,
Bay Islands,roatan
Bay Nelson,
Bay at Islands,
Bay at Mavern,
Bay de Prony
Bay du Tombeau,
Bay of Aquaba
Bay of Bengal
Bay of Bengal,
Bay of Bengel,
Bay of Boqueron,
Bay of California,
Bay of Cardenas,
Bay of Chiriqui
Bay of Chiriqui,
Bay of Gorea,
Bay of Goree,
Bay of Isdlands,
Bay of Islands,
Bay of Isles
Bay of Jakarta,
Bay of La Paz,
Bay of Marin,
Bay of Marmaris,
Bay of Marseille,
Bay of Motijo,
Bay of Naples,
Bay of Navin,
Bay of Nicoya,
Bay of Panama
Bay of Panama(Canal Zone Area)
Bay of Panama,
Bay of Panama, Las Perlas,
Bay of Panma
Bay of Pleanty,
Bay of Plenty
Bay of Plenty,
Bay of Pleny,
Bay of Port Bello,
Bay of Port Boise,
Bay of Porto Bello,
Bay of Portobelo,
Bay of Prony,
Bay of Sihuantanejo,
Bay of St. Brieue,
Bay of St. Efemia,
Bay of St. Paul,
Bay of Taahuku,
Bay of Yedo
Bay ofPorto Bello,
Bay side, Monroe Co., Florida,
Bay,S.side Nossi Iranja,
Baya California,
Bayamon vic.
Bayamon,
Bayarata Island,
Bazarut Island,
Bazaruta Island,
Bazaruta,
Bazaruto Island,
Bazaruto Islands
Beach North of Mayaguez,
Beach at Boqueron
Beach at Punta Cuchara
Beach just south of Monrovia,
Beach of Matei Island
Beach south of Durban,
Beach,
Beachcomber Island,
Bearing Sea,
Beaurail,
Beauvallon Beach,
Bede Circle,
Bedok Bay,
Beira,
Beira-Quelimane,
Bel Air,
Bel Aire,
Belawan Harbor,
Belep Island,
Belep Islands,
Belgian Congo
Bellona Island
Bemeko,
Bemoka,
Bengal
Bengal,
Benicarlo,
Benicarola,
Bent County, Colorado,
Bequeron Beach,
Bequia,
Bering Sea,
Bermuda
Bermuda,
Bernicarlo,
Betty Hill,
Betw. Florida Keys & Tortugas
Between Devonshire
Between Sumatra & Borneo,
Beyond Summerland,
Bhuket,
Bicol Province,
Bicol Region,
Bicol,
Big Black River Bay,
Big Black River,
Bight of Bangkok,
Bikol,
Bilow,
Birkirkara,
Biscayne Bay,
Bise Reef Flat,
Bise Tide Flat,
Bismarck Archipelago
Bismark Archipelago,
Bismark Island,
Biwa Ko,
Bizen,
Black River Bay,
Black River,
Black Sea,
Bland Bay Beach,
Bland Bay,
Bloody Beach,
Bloody Foreland,
Blue Bay,
Blue Mt. Res.
Bluefields,
Bluff Island,
Bluff South Island
Boac Marinduque,
Boac,
Boae,
Boat Pass,
Boca de Cangrejos
Boca de Cangrejos,
Bocas del Toro,
Bocas del Torro,
Boco de Toro,
Bocol,
Bodrum,
Bogia,
Bohac
Bohal Island,
Bohol
Bohol Area,
Bohol Id.,
Bohol Island
Bohol Island,
Bohol Strait
Bohol Strait,
Bohol Straits
Bohol Straits,
Bohol Sts.,
Bohol area,
Bohol,
Bohol, Balicasag Island,
Bohol, Panglao,
Bohol,Balicasag Island,
Bohol.
Bohon,
Bois Neuf
Boli Passage,
Bolo Arch.,
Bolo Point
Bolo Point,
Bolo Reef,
Bolonda,
Bombaqy,
Bombay
Bombay,
Bon Bane (?),
Bonaire
Bonaire,
Bonde
Bongao Channel
Bongao Channel,
Bonin Island,
Bonza Bay,
Bootless Bay,
Boqucron Beach,
Boqueron
Boqueron Beach,
Bora Bora Island,
Bora Bora Lagoon,
Bora Bora,
Borangonn Island,
Borgen Bay,
Borneo,
Borogan,
Bosnia,
Boso Peninsula,
Bosporus,
Bosque Insular
Bosque Insulare de Gußnica,
Both shores,
Bottom Nets off Cebu
Boucan Canot,
Boucau Canot,
Bougainville Id.,
Bougainville Island
Bougainville Island,
Bougainville,
Bouganvilla,
Bouganville Island
Bouganville Island,
Bougenville,
Boulari Pass,
Boulonnais,
Bourail,
Boutau Canot,
Boyarena Bay
Boyarena Id.,
Boyarena Island,
Brac
Braco Reef Wall,
Brae,
Brava,
Bravo Area
Braward Co.,
Brda River,
Bretagne
Bretagne,
Brevard County,
Brick Island,
Bristol Channel,
Britain,
British Channel
British Solomon Isl.
British West Indies
Brittany
Brittany,
Broome
Broome County
Broome,
Broward County, Florida
Brown Island
Browns Beach,
Brunei,
Btw. Sabana & Liquillo,
Btw.Islas Partidas,
Bucaru
Bucco Reef,
Buccoo Bay
Buccoo Bay,
Buchanan,
Buena Vista
Buena Vista,
Buenavista,
Buffalo Bay,
Buffels Bay,
Buin
Buin,
Bulan,
Bulugha River Mouth,
Burias Id.,
Burias Island,
Bussee Reef,
Busua Island,
Busuanga Island,
Buyukada Island,
Buzzards Bay
By Taiwan,
Bzaruta Island,
C & O canal,
C. of Paconea,
C.F.A.Y. Yokosuka,
CSIRO,
Caba Rojo,
Cabaco Island,
Cabanas Harbor
Cabe Rojo
Cabo Barbas,
Cabo Blanca,
Cabo Blanco,
Cabo Delgado,
Cabo Haro,
Cabo Kajo,
Cabo Mala Parcua,
Cabo Mala Pascua,
Cabo Pulmo,
Cabo Ras Hafun,
Cabo Rojo,
Cabo San Lucas,
Cabo San Lucas.
Cabo Santa Maria Rocha,
Cabo Santa Maria,
Cabo Viejo,
Cabra Island,
Cabu,
Cadalur,
Cadaques,
Cadiz Bay,
Cadiz,
Cagayan,
Cagliari
Caibarien Las Villas,
Caithness,
Cajamarca,
Cajamarcana
Cajamarcana,
Calabajas,
Calamar,
Calamian Group
Calamianes,
Calapan
Calapan,
Calcutta
Calcutta,
Calefornia,
Calfornia,
Califoirnia,
Califonia,
Califonia, off Carmel,
California
California (?),
California (Lower) 
California Coast
California Coast,
California South,
California South,near Gaviota,
California del Sur,
California,
California, 12 miles off shore
California, Anaheim,
California, Baja
California, Bodega,
California, Carmel Canyon,
California, Channel Islands,
California, Dillon Beach,
California, Hueneme Harbor,
California, Humboldt County,
California, Isla Vista,
California, La Jolla,
California, Long Beach,
California, Monterey Bay,
California, Monyerey Peninsula
California, Morro Beach,
California, Orange County,
California, Pt.Concepcion,
California, San Diego County,
California, San Diego area,
California, San Diego,
California, San Mateo County,
California, San Mateo,
California, San Pedro,
California, Santa Barbara,
California, Santa Cruz Island,
California, Santa Cruz,
California, Santa Rosa Island,
California, South,
California,Catalina Isld.,
California,Contra Costa Co.,
California,Frazier's Point,
California,Humboldt County,
California,Pt.Concepcion
California,San Diego,
California,San Francisco,
California,Santa Barbara Ct.,
California,Santa Cruz Isd.
California,Sta Cruz Isd,
California.
Californian coast,
Californioa,
Californis,
Caliifornia,
Caliifornia, Humboldt County,
Callao,
Callao.
Calliaqua Beach,
Callifornia,
Calopan,
Calvados Chain,
Camaguay Province
Camaguay Province,
Camaguey
Camarin,
Camarines,
Cambrils,
Camel Rock,
Cameron Island
Cameron,
Cameron, Vera Cruz
Camiguing
Camotes Island
Camotes Islands,
Camp El Coyote,
Campache,
Campbell Island,
Campbess Islands,
Campech,
Campeche
Campeche Bank,
Campeche Banks,
Campeche,
Campo de Perlita,
Camps Bay,
Camranh Bay,
Canal Vridi,
Canal Woodin,
Canal Zone
Canal Zone K 501,
Canal Zone,
Canal de Adentro Island,
Canal de Adentro,
Canal de Afuera Island,
Canal de Afuera,
Canal zone,
CanalZone,
Canale di San Pietro
Canaries Islands,
Canary Ids.,
Canary Island,
Canary Islands,
Cancale,
Canelones,
Cannes,
Canterbury,
Cantolao,
Canton Island,
Cap Diego,
Cap Ferrat
Cap Ferrat,
Cap La Houssaye,
Cap Salomon,
Cap Solomon
Cap Solomon,
Cap Verde Peninsula,
Cap Vert,
Cap de Naze,
Cap de Nrze,
Cap la Houssaye,
Cap. d'Antibes,
Cape
Cape Agulas Bank,
Cape Agulhas Bank,
Cape Agulhas,
Cape Aqulhas,
Cape Area,
Cape Beach,
Cape Blanco,
Cape Campbell,
Cape Cod,
Cape Comorin,
Cape D'Antibes,
Cape Erimo,
Cape Gardafui
Cape Gardafui,
Cape Gazelle,
Cape George,
Cape Gracias a Dios,
Cape Gris Nez,
Cape Guardafui
Cape Guardafui,
Cape Horn,
Cape Keraudren,
Cape Leveque,
Cape Mala,
Cape Maria Van Diemen,
Cape Maria van Diemen,
Cape Maria,
Cape May County, New Jersey,
Cape Northunberland,
Cape Orivince,
Cape Palmas
Cape Palmas,
Cape Peneisula,
Cape Penincula,
Cape Peninsula
Cape Peninsula,
Cape Penninsula,
Cape Perninsula,
Cape Point,
Cape Povince,
Cape Provice
Cape Province
Cape Province,
Cape Province, Cape Town,
Cape Province, N.W.
Cape Province, Nthonyana,
Cape Provine,
Cape Provionce,
Cape Provonce,
Cape Raas Hafuun,
Cape Ras Hafun
Cape Ras Hafun,
Cape Ras Hafuun
Cape Rodney,
Cape San Lucas,
Cape Shiono,
Cape Shiretoko,
Cape Sierra,
Cape St. Blaize,
Cape St. Francis,
Cape St.Mary,
Cape Town
Cape Town,
Cape Uom,
Cape Verde Archipelago,
Cape Verde Island,
Cape Verde Islands
Cape Verde Islands,
Cape Verde Isls.
Cape Verde Peninsula,
Cape Verde Perninsula,
Cape Verde,
Cape de Naza,
Cape de Naze,
Cape la Houssaye,
Cape of Good Hope
Cape of Good Hope,
Cape of St. Francis
Cape,
Cape, Jeffrey's Bay,
Capeaterre,
Capel Bank,
Capetown,
Capiz,
Capo Blanco,
Capo Ras Hafun,
Capoe Province,
Capr Province,
Capraia Island,
Capraia,
Capre Province,
Capri,
Capul Island,
Caracas,
Caratasca Cays,
Caratasca Key,
Caratasca Keys
Caratasca Keys,
Carboneras Matanzas,
Cardenas
Cardenas,
Cardnas,
Carenage Bay,
Cargados,
Caribbean
Caribbean Panama,
Caribbean Sea
Caribbean Sea,
Caribbean,
Carigara Bay,
Carimata Strait,
Carinata Strait,
Carlos Island,
Carlson Island,
Carmel,
Carmen Island
Carmen Island,
Carnarvon
Carolinas,
Caroline Ids.,
Caroline Is.
Caroline Is.,
Caroline Island,
Caroline Islands,
Caroline is.,
Carriacou Island,
Carriacou,
Carribean Sea,
Carrie Bow Key
Cartagena,
Cary Cay,
Casablanca,
Casamance,
Casaya Id.,
Casaya Island,
Casco Bay
Case Pilote,
Caspeian Sea
Caspien Sea,
Castaway Island,
Castellon
Castellon,
Castries,
Catanduanas,
Catanduanes Island
Catanduanes Island,
Catanduanes,
Catanduenes Island,
Catania,
Catano,
Cattaraugus Co., NY,
Caves at Mendoza,
Cawit,
Cay Sol,
Cayar,
Cayenne,
Cayman Brac
Cayman Islands
Cayman Islands,
Cayman Kai,
Cayo Caratasca,
Cayo Caribe to Cayo Parguera,
Cayo Icacoe,
Cayo Icacos,
Cayo Lobos,
Cayo de Agua,
Cayos Vivorillo
Cayos Vivorillo,
Cayos Vivoritas,
Cayos de Agua,
Cbu Island,
Cbu,
Cebaco Id.,
Cebaco Is.
Cebaco Is.,
Cebaco Island
Cebaco Island,
Cebaco,
Ceboco Island,
Cebu
Cebu & Bohol Island,
Cebu & Bohol Islands,
Cebu & Leyte,
Cebu City,
Cebu Id.,
Cebu Island
Cebu Island area,
Cebu Island,
Cebu Islands,
Cebu North,
Cebu Province,
Cebu Sea,
Cebu Strait,
Cebu,
Cebu, Mactan Island,
Cebu, Mactan,
Cebu, Macten Is.
Cebu, Macten Island,
Cebu, Magellan Bay,
Cedar Key,
Cedros Id.,
Cedros Island,
Cedros Islands,
Celebes Islands,
Celebes Sea
Celebes Sea,
Celebes,
Center,
Central Africa
Central Area,
Central Florida,
Central Honshu,
Central Java,
Central North Island,
Central Pacific Ocean
Central Pacific Ocean,
Central Visayan Islands,
Central east Pacific
Central eastern Pacific
Central,
Cephalonia,
Cephalonia, Pali Pen.
Cera Cruz,
Ceralbo Island,
Ceralvo Island,
Ceram,
Cerralvo Island,
Cervia,
Cetti Bay,
Cetubal,
Cha Tang,
Cha Teng,
Cha Tengi,
Chaf Bahai,
Chafarinas Island,
Chafarinas Islands,
Chagos Archipelago,
Chaishimo Island,
Chakas Rock,
Challa Bay,
Challo Bay,
Chame Point,
Chamela Bay,
Champerico
Changi Beach,
Changi Coast,
Changi Point,
Changi Reef,
Chango (Prison) Island
Channel D'Illot,
Channel Ids.,
Channel Iland
Channel Islands,
Channel de L'Ilot,
Channel,
Chantaburi
Charente,
Charleston County, South Carolina
Chatham Bay,
Chatham Island,
Chatham Islands,
Chatham Rise,
Cheltenham,
Chepo
Chesterfield
Chesterfield Islands,
Chesterfield Reef,
Chesterfield-Bellona Plateau,
Cheviot,
Chia Ting,
Chiakting,
Chiapas
Chiapas,
Chiatung,
Chiba Pref.,
Chiba Prefecture
Chiba Prefecture,
Chichirivichi
Chihuahua
Chihuahua,
Chilaw District,
Chilung,
Chimbote,
China Sea,
Chinde,
Chinen and Ona,
Chinen,
Chinhae, north bay
Chioggia,
Chiquito
Chirique Bay
Chirique Gulf,
Chiriqui Bay,
Chiriqui Gulf,
Chiriqui,
Chitung(Jilong),
Choisal Island,
Choiseul Island
Choiseul Island,
Choiseul Islands,
ChoiseulIsland,
Chola Bay,
Cholla Bay
Cholla Bay,
Cholla,
Chope Beach,
Chorrero Beach,
Choshi,
Choya Bay,
Christ Church,
Christiansted Harbor,
Christmas Is.,
Christmas Island,
Chumphon,
Chun-Nam
Chuo-Kii,
Chwaka,
Cienfuegos
Cienfuegos Bay
Cienfuegos,
Cinisi, Palermo,
Cinisi-Palermo,
Ciskei,
Ciskei, Haga Haga,
Citty Bay,
Clemento Island,
Clipperton Island,
Cliupperton Island,
Close to Kurile Island,
Coast near Fiji Hotel,
Coast of Peru,
Coast,
Coasta del Sol,
Coba de Santa Maria,
Cochin,
Cocos Is.,
Cocos Island,
Cocos Islands,
Cocovi Island,
Coffee Bay,
Coiba Island,
Colac Bay,
Colima
Colima,
Colima, Santiago,
Colina,
Colombo Reef,
Colombo Sandstone Reef,
Colombo region,
Colombo,
Colomco Reef,
Colon,
Colorado
Colorado,
Columbia Co., New York,
Columbo Reef,
Combate,
Comeran Island
Comino Island,
Comores Island,
Comoro Islands,
Comotes Islands,
Con Sen Island,
Con Son Island,
Conakry region,
Conakry,
Concepcion Bay
Concepcion Bay L. C., Baja California
